Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
s25_2	s25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18440885.0	0.0	51.0	55.0	34.705802613047034	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s26_1	s26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22298476.0	0.0	51.0	54.0	23.44276907495125	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
s26_2	s26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22298476.0	0.0	51.0	54.0	25.297097422066095	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
s27_1	s27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15004926.0	0.0	51.0	53.0	34.957526924817216	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s27_2	s27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15004926.0	0.0	51.0	55.0	35.58397701438892	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s28_1	s28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20174037.0	0.0	51.0	53.0	21.971061367889842	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
s28_2	s28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20174037.0	0.0	51.0	54.0	23.795772095380393	51.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
s29_1	s29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21308371.0	0.0	51.0	52.0	40.02562019771227	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s29_2	s29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21308371.0	0.0	51.0	53.0	42.409718941072974	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
s30_1	s30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18775906.0	0.0	51.0	52.0	40.60649178991253	51.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
s30_2	s30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18775906.0	0.0	51.0	53.0	42.64796916442774	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
s31_1	s31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19681235.0	0.0	51.0	53.0	37.53150864219259	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
s31_2	s31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19681235.0	0.0	51.0	54.0	39.44513565414675	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
s32_1	s32_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18851948.0	0.0	51.0	53.0	36.172447091234304	51.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
s32_2	s32_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18851948.0	0.0	51.0	54.0	38.8195737572535	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
s33_1	s33_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20909694.0	0.0	51.0	54.0	33.479439839929256	51.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
